name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
New York,2023-05-15,73.1,53.6,64.7,73.1,53.6,64.7,34,32.9,0,0,0,,0,0,25.3,11.7,279.1,1021.4,32.8,9.9,299.2,25.9,9,10,2023-05-15T05:38:56,2023-05-15T20:05:51,0.86,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KJFK,KLGA,74486094789,F8726,KNYC,72503014732"
New York,2023-05-16,78.4,59.7,70.2,78.4,59.7,70.2,40.3,35.6,0,0,0,,0,0,24.2,14.6,240.9,1006.9,37.8,9.9,291.1,25.1,9,10,2023-05-16T05:38:00,2023-05-16T20:06:49,0.89,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KJFK,KLGA,74486094789,F8726,KNYC,72503014732"
New York,2023-05-17,71,53.5,61.5,71,53.5,61.5,32.9,35.8,0,0,0,,0,0,31.1,17.7,338.6,1007.6,40.4,9.9,327.8,28.2,10,10,2023-05-17T05:37:05,2023-05-17T20:07:46,0.93,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KJFK,KLGA,74486094789,F8726,KNYC,72503014732"
New York,2023-05-18,58.6,44.8,52.9,58.6,42.3,51.9,30.6,43.8,0,0,0,,0,0,24.2,14.6,112,1025.3,14.8,9.9,322.1,27.8,10,10,2023-05-18T05:36:12,2023-05-18T20:08:42,0.96,Clear,Clear conditions throughout the day.,clear-day,"72505394728,KJFK,KLGA,74486094789,F8726,KNYC,72503014732"
New York,2023-05-19,67.9,53.1,59.9,67.9,53.1,59.9,46.9,63.1,0,0,0,,0,0,31.2,22.3,164.3,1026.5,42.1,9.9,287.3,24.8,9,10,2023-05-19T05:35:21,2023-05-19T20:09:38,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KJFK,KLGA,74486094789,F8726,KNYC,72503014732"
New York,2023-05-20,64.7,57.4,60.7,64.7,57.4,60.7,58.3,92.2,1.135,100,54.17,rain,0,0,17,10,101.6,1017.3,96.6,4.2,80.1,6.9,3,10,2023-05-20T05:34:32,2023-05-20T20:10:34,0.03,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"72505394728,KJFK,KLGA,74486094789,F8726,KNYC,72503014732"
New York,2023-05-21,69.7,56.4,63.9,69.7,56.4,63.9,49.9,61.7,0.01,100,8.33,rain,0,0,34.4,16.9,315.9,1013.6,73.4,9.4,273.5,23.7,10,10,2023-05-21T05:33:44,2023-05-21T20:11:28,0.06,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"72505394728,KJFK,KLGA,74486094789,F8726,KNYC,72503014732"
New York,2023-05-22,72.8,58.2,64.5,72.8,58.2,64.5,50.2,60.6,0,0,0,,0,0,19.7,13.1,88,1021.1,34.7,9.7,256.4,22.3,9,10,2023-05-22T05:32:58,2023-05-22T20:12:22,0.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KJFK,KLGA,74486094789,F8726,KNYC,72503014732"
New York,2023-05-23,66.4,55.5,60,66.4,55.5,60,47.2,64.2,0,0,0,,0,0,19.7,12.9,91.7,1026.2,65.2,9.9,299.4,25.9,9,10,2023-05-23T05:32:14,2023-05-23T20:13:15,0.13,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KJFK,KLGA,74486094789,F8726,KNYC,72503014732"
New York,2023-05-24,74.8,53.1,61.9,74.8,53.1,61.9,43.2,52.1,0.033,100,8.33,rain,0,0,30,16.9,24.5,1017.9,49.7,9.8,296.4,25.7,9,10,2023-05-24T05:31:32,2023-05-24T20:14:08,0.16,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"72505394728,KJFK,KLGA,74486094789,F8726,KNYC,72503014732"
New York,2023-05-25,66.8,50.9,59.3,66.8,50.9,59.3,38.1,47.3,0.002,100,4.17,rain,0,0,30.6,20.8,12.2,1019.8,34.1,9.9,345.6,30,10,10,2023-05-25T05:30:51,2023-05-25T20:14:59,0.19,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"72505394728,KJFK,KLGA,74486094789,F8726,KNYC,72503014732"
New York,2023-05-26,71.6,53.6,63.3,71.6,53.6,63.3,36.8,39.1,0,0,0,,0,0,21.2,11.4,24.9,1024.2,18.9,9.9,345.3,29.6,10,10,2023-05-26T05:30:12,2023-05-26T20:15:50,0.23,Clear,Clear conditions throughout the day.,clear-day,"72505394728,KJFK,KLGA,74486094789,F8726,KNYC,72503014732"
New York,2023-05-27,75.7,57.4,66.1,75.7,57.4,66.1,40.7,40.6,0,0,0,,0,0,16.3,9.6,130.5,1025.5,36.6,9.9,339.5,29.5,10,10,2023-05-27T05:29:35,2023-05-27T20:16:40,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KJFK,KLGA,74486094789,F8726,KNYC,72503014732"
New York,2023-05-28,76.1,59.8,67.1,76.1,59.8,67.1,41.1,39.5,0,0,0,,0,0,15,12.8,199.5,1020.2,41.5,9.9,346.1,30,10,10,2023-05-28T05:29:01,2023-05-28T20:17:28,0.29,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KJFK,KLGA,74486094789,F8726,KNYC,72503014732"
New York,2023-05-29,76.3,61.3,68.4,76.3,61.3,68.4,47.6,48.7,0,0,0,,0,0,33.3,18,84.5,1016.9,29.6,9.9,329.8,28.5,10,10,2023-05-29T05:28:28,2023-05-29T20:18:16,0.32,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KJFK,KLGA,74486094789,F8726,KNYC,72503014732"
New York,2023-05-30,68.2,55.1,61.1,68.2,55.1,61.1,46.2,58.4,0,0,0,,0,0,19.7,14.4,67.2,1022.6,20,9.9,333.5,28.8,10,10,2023-05-30T05:27:56,2023-05-30T20:19:03,0.36,Clear,Partly cloudy throughout the day.,clear-day,"72505394728,KJFK,KLGA,74486094789,F8726,KNYC,72503014732"
New York,2023-05-31,73.8,51.4,62.2,73.8,51.4,62.2,50,66.5,0,0,0,,0,0,12.3,8.8,84.3,1022.3,25.1,9.7,340.8,29.5,10,10,2023-05-31T05:27:27,2023-05-31T20:19:48,0.39,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KJFK,KLGA,74486094789,F8726,KNYC,72503014732"
New York,2023-06-01,83,59.7,70.4,81.8,59.7,70.2,55.1,61.5,0,0,0,,0,0,13.6,9.1,105.5,1018.6,10.5,9.5,336.8,29.2,10,10,2023-06-01T05:27:00,2023-06-01T20:20:33,0.42,Clear,Clear conditions throughout the day.,clear-day,"72505394728,KJFK,KLGA,74486094789,F8726,KNYC,72503014732"
New York,2023-06-02,86.3,65.7,74.1,85.4,65.7,74,56.9,56.9,0.118,100,12.5,rain,0,0,15.9,8.5,134.6,1012.7,26.9,9.3,326.3,28.2,10,10,2023-06-02T05:26:35,2023-06-02T20:21:16,0.45,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"72505394728,KJFK,KLGA,74486094789,F8726,KNYC,72503014732"
New York,2023-06-03,69.3,56.9,64.6,69.3,56.9,64.6,55.1,71.5,0,0,0,,0,0,22.6,13.6,61.8,1015,85.7,9.6,124.7,10.7,5,10,2023-06-03T05:26:11,2023-06-03T20:21:58,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KJFK,KLGA,74486094789,F8726,KNYC,72503014732"
New York,2023-06-04,68.4,49.8,59.1,68.4,48.5,59.1,43,56.4,0,0,0,,0,0,26.7,15,32.5,1016.5,75.8,9.9,189.6,16.4,7,10,2023-06-04T05:25:50,2023-06-04T20:22:38,0.52,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KJFK,KLGA,74486094789,F8726,KNYC,72503014732"
New York,2023-06-05,74.6,55.6,65.7,74.6,55.6,65.7,45.1,48.8,0,0,0,,0,0,27.2,14.1,352.1,1011.5,57.3,9.7,302.2,26.1,10,10,2023-06-05T05:25:31,2023-06-05T20:23:18,0.55,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"72505394728,KJFK,KLGA,74486094789,F8726,KNYC,72503014732"
